Reading pref.tcl

# 2021.3_1

# do scripts/run_config2.do
# 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 20:13:33 on May 25,2026
# vlog "+acc" -source -lint ../rtl/interface.sv 
# -- Compiling interface Intel8088Pins
# 
# Top level modules:
# 	--none--
# End time: 20:13:34 on May 25,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 20:13:34 on May 25,2026
# vlog "+acc" -source -lint ../rtl/memorio.sv ../tb/memorio_tb.sv 
# -- Compiling module MemoryOrIOModule
# -- Compiling module Datapath
# -- Compiling module ControlSequencer
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 20:13:34 on May 25,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 20:13:34 on May 25,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+MemoryOrIOModule(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading interface Intel8088Pins
# -- Loading module MemoryOrIOModule
# -- Loading module Datapath
# -- Loading module ControlSequencer
# Optimizing 12 design-units (inlining 0/14 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module ControlSequencer(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "ControlSequencer(fast)".
# -- Optimizing module Datapath(fast)
# -- Optimizing module Datapath(fast__1)
# -- Optimizing module Datapath(fast__2)
# -- Optimizing module Datapath(fast__3)
# -- Optimizing module MemoryOrIOModule(fast)
# -- Optimizing module MemoryOrIOModule(fast__1)
# -- Optimizing module MemoryOrIOModule(fast__2)
# -- Optimizing module MemoryOrIOModule(fast__3)
# -- Optimizing interface Intel8088Pins(fast__1)
# -- Optimizing interface Intel8088Pins(fast)
# Optimized design name is top_optimized
# End time: 20:13:35 on May 25,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 20:13:35 on May 25,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.Intel8088Pins(fast__1)
# Loading work.MemoryOrIOModule(fast)
# Loading work.Datapath(fast)
# Loading work.ControlSequencer(fast)
# Loading work.MemoryOrIOModule(fast__1)
# Loading work.Datapath(fast__1)
# Loading work.MemoryOrIOModule(fast__2)
# Loading work.Datapath(fast__2)
# Loading work.MemoryOrIOModule(fast__3)
# Loading work.Datapath(fast__3)
# 1
# *** PASSED ***
# ** Note: $finish    : ../tb/memorio_tb.sv(109)
#    Time: 2061450 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at ../tb/memorio_tb.sv line 109
# Stopped at ../tb/memorio_tb.sv line 109
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 20:13:36 on May 25,2026
# vcover report memorio.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/M0/datapath
# === Design Unit: work.Datapath
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         6         6         0   100.00%
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /top/M0/controlSequencer
# === Design Unit: work.ControlSequencer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        18        18         0   100.00%
#     Conditions                       2         2         0   100.00%
#     FSM States                       5         5         0   100.00%
#     FSM Transitions                  9         6         3    66.66%
#     Statements                      15        15         0   100.00%
# 
# =================================================================================
# === Instance: /top/M1/datapath
# === Design Unit: work.Datapath
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         6         6         0   100.00%
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /top/M1/controlSequencer
# === Design Unit: work.ControlSequencer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        18        18         0   100.00%
#     Conditions                       2         2         0   100.00%
#     FSM States                       5         5         0   100.00%
#     FSM Transitions                  9         6         3    66.66%
#     Statements                      15        15         0   100.00%
# 
# =================================================================================
# === Instance: /top/IO0/datapath
# === Design Unit: work.Datapath
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         6         6         0   100.00%
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /top/IO0/controlSequencer
# === Design Unit: work.ControlSequencer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        18        18         0   100.00%
#     Conditions                       2         2         0   100.00%
#     FSM States                       5         5         0   100.00%
#     FSM Transitions                  9         6         3    66.66%
#     Statements                      15        15         0   100.00%
# 
# =================================================================================
# === Instance: /top/IO1/datapath
# === Design Unit: work.Datapath
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         6         6         0   100.00%
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /top/IO1/controlSequencer
# === Design Unit: work.ControlSequencer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        18        18         0   100.00%
#     Conditions                       2         2         0   100.00%
